Transaction_ID,Customer_ID_internal,Account_Type_internal,Total_Balance_internal,Transaction_Amount_internal,Investment_Amount_internal,Investment_Type_internal,Transaction_Date_internal,Customer_ID_external,Account_Type_external,Total_Balance_external,Transaction_Amount_external,Investment_Amount_external,Investment_Type_external,Transaction_Date_external,status,amount_difference,date_difference_days,record_location
300014,202248,Savings,79733,1516.0,24178,Mutual Fund,2022-05-06,202248,Savings,79733.0,1516.0,24178.0,Mutual Fund,2022-05-06,MATCH,0.0,0.0,both
300015,200582,Savings,17467,4788.0,22052,Recurring Deposit,2022-08-13,200582,Savings,17467.0,4788.0,22052.0,Recurring Deposit,2022-08-13,MATCH,0.0,0.0,both
300016,204119,Current,55313,1971.0,43970,Mutual Fund,2023-02-23,204119,Current,55313.0,1971.0,43970.0,Mutual Fund,2023-02-23,MATCH,0.0,0.0,both
300017,200872,Current,12532,2483.0,22133,Mutual Fund,2023-03-17,200872,Current,12532.0,2483.0,22133.0,Mutual Fund,2023-03-17,MATCH,0.0,0.0,both
300018,202383,Savings,49658,3742.0,7727,Mutual Fund,2024-05-14,202383,Savings,49658.0,3742.0,7727.0,Mutual Fund,2024-05-14,MATCH,0.0,0.0,both
300019,208164,Business,9225,4927.0,10808,Fixed Deposit,2024-10-11,208164,Business,9225.0,4927.0,10808.0,Fixed Deposit,2024-10-11,MATCH,0.0,0.0,both
300020,203721,Business,45900,6627.42,44084,Fixed Deposit,2022-05-01,203721,Business,45900.0,6627.42,44084.0,Fixed Deposit,2022-05-01,MATCH,0.0,0.0,both
300021,209684,Business,70335,361.0,47823,Recurring Deposit,2024-08-08,209684,Business,70335.0,361.0,47823.0,Recurring Deposit,2024-08-08,MATCH,0.0,0.0,both
300022,207316,Current,20828,1570.0,18262,Recurring Deposit,2023-01-23,207316,Current,20828.0,1570.0,18262.0,Recurring Deposit,2023-01-23,MATCH,0.0,0.0,both
300023,206897,Savings,54204,1310.0,4334,Fixed Deposit,2024-12-24,206897,Savings,54204.0,1310.0,4334.0,Fixed Deposit,2024-12-24,MATCH,0.0,0.0,both
300024,201094,Savings,65447,4938.0,2448,Recurring Deposit,2025-03-14,201094,Savings,65447.0,4938.0,2448.0,Recurring Deposit,2025-03-14,MATCH,0.0,0.0,both
300025,204007,Current,48288,3773.0,33365,Recurring Deposit,2024-07-14,204007,Current,48288.0,3773.0,33365.0,Recurring Deposit,2024-07-14,MATCH,0.0,0.0,both
300026,204487,Business,21439,1041.0,29394,Fixed Deposit,2024-01-01,204487,Business,21439.0,1041.0,29394.0,Fixed Deposit,2024-01-01,MATCH,0.0,0.0,both
300027,202295,Savings,49736,2393.0,34507,Fixed Deposit,2023-02-26,202295,Savings,49736.0,2393.0,34507.0,Fixed Deposit,2023-02-26,MATCH,0.0,0.0,both
300028,209320,Business,71788,4852.0,15429,Fixed Deposit,2024-02-16,209320,Business,71788.0,4852.0,15429.0,Fixed Deposit,2024-02-16,MATCH,0.0,0.0,both
300029,205171,Savings,4032,4578.0,30881,Fixed Deposit,2024-09-21,205171,Savings,4032.0,4578.0,30881.0,Fixed Deposit,2024-09-21,MATCH,0.0,0.0,both
300030,202305,Current,38930,4105.0,8971,Mutual Fund,2023-05-27,202305,Current,38930.0,4105.0,8971.0,Mutual Fund,2023-05-27,MATCH,0.0,0.0,both
300031,205604,Current,70735,1857.0,28139,Fixed Deposit,2022-03-31,205604,Current,70735.0,1857.0,28139.0,Fixed Deposit,2022-03-31,MATCH,0.0,0.0,both
300032,208597,Business,14328,2724.0,46384,Fixed Deposit,2022-11-24,208597,Business,14328.0,2724.0,46384.0,Fixed Deposit,2022-11-24,MATCH,0.0,0.0,both
300033,201654,Current,81984,3532.0,1352,Fixed Deposit,2025-03-09,201654,Current,81984.0,3532.0,1352.0,Fixed Deposit,2025-03-09,MATCH,0.0,0.0,both
300034,204981,Savings,98769,1413.43,23073,Fixed Deposit,2024-01-06,204981,Savings,98769.0,1413.43,23073.0,Fixed Deposit,2024-01-06,MATCH,0.0,0.0,both
300035,209779,Current,53909,3388.0,38051,Fixed Deposit,2023-08-31,209779,Current,53909.0,3388.0,38051.0,Fixed Deposit,2023-08-31,MATCH,0.0,0.0,both
300036,206510,Business,56456,4819.0,30383,Mutual Fund,2023-05-26,206510,Business,56456.0,4819.0,30383.0,Mutual Fund,2023-05-26,MATCH,0.0,0.0,both
300037,203773,Current,91948,1105.0,5686,Fixed Deposit,2022-11-17,203773,Current,91948.0,1105.0,5686.0,Fixed Deposit,2022-11-17,MATCH,0.0,0.0,both
300038,204445,Savings,76305,2909.0,17613,Mutual Fund,2023-02-18,204445,Savings,76305.0,2909.0,17613.0,Mutual Fund,2023-02-18,MATCH,0.0,0.0,both
300039,206769,Current,24438,1210.0,48004,Mutual Fund,2023-08-25,206769,Current,24438.0,1210.0,48004.0,Mutual Fund,2023-08-25,MATCH,0.0,0.0,both
300040,207873,Savings,23464,389.0,1320,Mutual Fund,2022-08-26,207873,Savings,23464.0,389.0,1320.0,Mutual Fund,2022-08-26,MATCH,0.0,0.0,both
300041,202102,Business,86047,1011.0,19917,Recurring Deposit,2022-08-12,202102,Business,86047.0,1011.0,19917.0,Recurring Deposit,2022-08-12,MATCH,0.0,0.0,both
300042,203852,Savings,28306,1480.0,46133,Mutual Fund,2023-11-01,203852,Savings,28306.0,1480.0,46133.0,Mutual Fund,2023-11-01,MATCH,0.0,0.0,both
300043,208987,Current,29241,1747.0,47535,Fixed Deposit,2022-08-18,208987,Current,29241.0,1747.0,47535.0,Fixed Deposit,2022-08-18,MATCH,0.0,0.0,both
300044,202904,Current,6313,4136.0,40430,Fixed Deposit,2023-09-29,202904,Current,6313.0,4136.0,40430.0,Fixed Deposit,2023-09-29,MATCH,0.0,0.0,both
300045,201453,Business,41400,3924.0,29495,Recurring Deposit,2023-09-06,201453,Business,41400.0,3924.0,29495.0,Recurring Deposit,2023-09-06,MATCH,0.0,0.0,both
300046,209070,Current,74796,4109.0,25768,Fixed Deposit,2024-10-13,209070,Current,74796.0,4109.0,25768.0,Fixed Deposit,2024-10-13,MATCH,0.0,0.0,both
300047,208578,Business,60021,1391.0,16081,Mutual Fund,2023-05-05,208578,Business,60021.0,1391.0,16081.0,Mutual Fund,2023-05-05,MATCH,0.0,0.0,both
300048,202434,Business,11536,3112.0,7987,Mutual Fund,2022-05-27,202434,Business,11536.0,3112.0,7987.0,Mutual Fund,2022-05-27,MATCH,0.0,0.0,both
300049,209372,Savings,20642,1722.0,1808,Mutual Fund,2024-03-03,209372,Savings,20642.0,1722.0,1808.0,Mutual Fund,2024-03-03,MATCH,0.0,0.0,both
300050,204519,Current,27673,4779.0,12849,Mutual Fund,2024-07-01,204519,Current,27673.0,4779.0,12849.0,Mutual Fund,2024-07-01,MATCH,0.0,0.0,both
300051,200786,Savings,8325,4174.0,19217,Recurring Deposit,2022-09-30,200786,Savings,8325.0,4174.0,19217.0,Recurring Deposit,2022-09-30,MATCH,0.0,0.0,both
300052,206803,Business,2149,1862.0,5514,Mutual Fund,2023-10-30,206803,Business,2149.0,1862.0,5514.0,Mutual Fund,2023-10-30,MATCH,0.0,0.0,both
300053,203219,Business,29377,4325.55,47497,Fixed Deposit,2022-07-21,203219,Business,29377.0,4325.55,47497.0,Fixed Deposit,2022-07-21,MATCH,0.0,0.0,both
300054,207258,Business,57301,2227.0,39792,Fixed Deposit,2024-07-25,207258,Business,57301.0,2227.0,39792.0,Fixed Deposit,2024-07-25,MATCH,0.0,0.0,both
300055,206699,Savings,25888,4279.0,18200,Mutual Fund,2023-06-19,206699,Savings,25888.0,4279.0,18200.0,Mutual Fund,2023-06-19,MATCH,0.0,0.0,both
300056,201773,Savings,40811,1537.0,23933,Recurring Deposit,2024-11-21,201773,Savings,40811.0,1537.0,23933.0,Recurring Deposit,2024-11-21,MATCH,0.0,0.0,both
300057,202042,Business,79085,3989.0,46476,Recurring Deposit,2024-11-05,202042,Business,79085.0,3989.0,46476.0,Recurring Deposit,2024-11-05,MATCH,0.0,0.0,both
300058,209816,Current,18004,2650.0,36131,Mutual Fund,2023-10-03,209816,Current,18004.0,2650.0,36131.0,Mutual Fund,2023-10-03,MATCH,0.0,0.0,both
300059,207169,Current,46996,2615.55,13299,Mutual Fund,2024-09-02,207169,Current,46996.0,2615.55,13299.0,Mutual Fund,2024-09-02,MATCH,0.0,0.0,both
300060,207608,Current,17977,456.0,36194,Mutual Fund,2023-01-13,207608,Current,17977.0,456.0,36194.0,Mutual Fund,2023-01-13,MATCH,0.0,0.0,both
300061,209440,Business,28472,260.0,32011,Fixed Deposit,2025-03-19,209440,Business,28472.0,260.0,32011.0,Fixed Deposit,2025-03-19,MATCH,0.0,0.0,both
300062,204242,Business,54691,3166.0,12049,Fixed Deposit,2022-07-07,204242,Business,54691.0,3166.0,12049.0,Fixed Deposit,2022-07-07,MATCH,0.0,0.0,both
300063,201625,Current,81352,2022.0,46919,Recurring Deposit,2022-05-31,201625,Current,81352.0,2022.0,46919.0,Recurring Deposit,2022-05-31,MATCH,0.0,0.0,both
300064,201471,Savings,34379,1620.0,34662,Fixed Deposit,2025-01-11,201471,Savings,34379.0,1620.0,34662.0,Fixed Deposit,2025-01-11,MATCH,0.0,0.0,both
300065,205549,Current,31314,3415.0,16440,Recurring Deposit,2023-03-10,205549,Current,31314.0,3415.0,16440.0,Recurring Deposit,2023-03-10,MATCH,0.0,0.0,both
300066,201346,Savings,14144,663.0,3974,Recurring Deposit,2023-06-13,201346,Savings,14144.0,663.0,3974.0,Recurring Deposit,2023-06-13,MATCH,0.0,0.0,both
300067,209306,Current,58970,3360.0,12027,Recurring Deposit,2022-07-22,209306,Current,58970.0,3360.0,12027.0,Recurring Deposit,2022-07-22,MATCH,0.0,0.0,both
300068,200013,Business,60291,4091.0,30557,Fixed Deposit,2023-03-17,200013,Business,60291.0,4091.0,30557.0,Fixed Deposit,2023-03-17,MATCH,0.0,0.0,both
300069,209363,Current,15668,109.0,40973,Fixed Deposit,2022-08-24,209363,Current,15668.0,109.0,40973.0,Fixed Deposit,2022-08-24,MATCH,0.0,0.0,both
300070,201826,Savings,11159,781.0,3247,Recurring Deposit,2023-11-01,201826,Savings,11159.0,781.0,3247.0,Recurring Deposit,2023-11-01,MATCH,0.0,0.0,both
300071,208600,Savings,43386,771.19,16631,Recurring Deposit,2023-05-26,208600,Savings,43386.0,771.19,16631.0,Recurring Deposit,2023-05-26,MATCH,0.0,0.0,both
300072,205507,Current,93190,776.0,1571,Mutual Fund,2024-02-23,205507,Current,93190.0,776.0,1571.0,Mutual Fund,2024-02-23,MATCH,0.0,0.0,both
300073,204152,Business,41654,292.0,6727,Recurring Deposit,2024-12-02,204152,Business,41654.0,292.0,6727.0,Recurring Deposit,2024-12-02,MATCH,0.0,0.0,both
300074,202561,Business,94115,3227.0,16048,Recurring Deposit,2023-10-08,202561,Business,94115.0,3227.0,16048.0,Recurring Deposit,2023-10-08,MATCH,0.0,0.0,both
300075,201902,Savings,74259,587.0,34913,Mutual Fund,2022-11-28,201902,Savings,74259.0,587.0,34913.0,Mutual Fund,2022-11-28,MATCH,0.0,0.0,both
300076,208596,Business,77182,385.0,37067,Recurring Deposit,2023-10-17,208596,Business,77182.0,385.0,37067.0,Recurring Deposit,2023-10-17,MATCH,0.0,0.0,both
300077,207916,Current,14799,1367.0,46381,Fixed Deposit,2023-09-23,207916,Current,14799.0,1367.0,46381.0,Fixed Deposit,2023-09-23,MATCH,0.0,0.0,both
300078,205720,Savings,13928,934.0,24135,Fixed Deposit,2023-02-09,205720,Savings,13928.0,934.0,24135.0,Fixed Deposit,2023-02-09,MATCH,0.0,0.0,both
300079,200858,Savings,43133,901.86,4345,Recurring Deposit,2025-01-25,200858,Savings,43133.0,901.86,4345.0,Recurring Deposit,2025-01-25,MATCH,0.0,0.0,both
300080,200208,Current,84847,1222.0,22763,Mutual Fund,2023-05-09,200208,Current,84847.0,1222.0,22763.0,Mutual Fund,2023-05-09,MATCH,0.0,0.0,both
300081,202190,Current,43308,3681.0,23699,Mutual Fund,2025-03-15,202190,Current,43308.0,3681.0,23699.0,Mutual Fund,2025-03-15,MATCH,0.0,0.0,both
300082,208109,Current,48383,3311.0,11587,Fixed Deposit,2025-02-14,208109,Current,48383.0,3311.0,11587.0,Fixed Deposit,2025-02-14,MATCH,0.0,0.0,both
300083,207794,Business,86627,2256.0,13962,Fixed Deposit,2024-12-21,207794,Business,86627.0,2256.0,13962.0,Fixed Deposit,2024-12-21,MATCH,0.0,0.0,both
300084,201822,Business,4360,2390.0,8777,Mutual Fund,2022-07-09,201822,Business,4360.0,2390.0,8777.0,Mutual Fund,2022-07-09,MATCH,0.0,0.0,both
300085,207741,Business,46631,1164.0,29535,Recurring Deposit,2024-10-22,207741,Business,46631.0,1164.0,29535.0,Recurring Deposit,2024-10-22,MATCH,0.0,0.0,both
300086,200545,Current,74422,3891.0,15881,Recurring Deposit,2024-12-01,200545,Current,74422.0,3891.0,15881.0,Recurring Deposit,2024-12-01,MATCH,0.0,0.0,both
300087,208995,Business,20259,2198.0,3160,Recurring Deposit,2022-12-11,208995,Business,20259.0,2198.0,3160.0,Recurring Deposit,2022-12-11,MATCH,0.0,0.0,both
300088,201127,Business,2577,1476.0,5260,Recurring Deposit,2024-06-27,201127,Business,2577.0,1476.0,5260.0,Recurring Deposit,2024-06-27,MATCH,0.0,0.0,both
300089,206476,Current,38065,2227.0,10696,Mutual Fund,2023-04-05,206476,Current,38065.0,2227.0,10696.0,Mutual Fund,2023-04-05,MATCH,0.0,0.0,both
300090,204092,Current,40483,446.0,37239,Mutual Fund,2022-11-29,204092,Current,40483.0,446.0,37239.0,Mutual Fund,2022-11-29,MATCH,0.0,0.0,both
300091,200246,Current,37201,1858.0,41677,Mutual Fund,2024-03-08,200246,Current,37201.0,1858.0,41677.0,Mutual Fund,2024-03-08,MATCH,0.0,0.0,both
300092,208656,Savings,33653,1438.0,11212,Recurring Deposit,2023-10-31,208656,Savings,33653.0,1438.0,11212.0,Recurring Deposit,2023-10-31,MATCH,0.0,0.0,both
300093,206444,Current,98586,4795.0,29859,Recurring Deposit,2023-05-14,206444,Current,98586.0,4795.0,29859.0,Recurring Deposit,2023-05-14,MATCH,0.0,0.0,both
300094,200619,Current,98266,2796.0,32851,Fixed Deposit,2024-12-09,200619,Current,98266.0,2796.0,32851.0,Fixed Deposit,2024-12-09,MATCH,0.0,0.0,both
300095,201958,Business,56360,4167.0,47288,Mutual Fund,2025-02-22,201958,Business,56360.0,4167.0,47288.0,Mutual Fund,2025-02-22,MATCH,0.0,0.0,both
300096,206681,Savings,99202,553.0,47078,Mutual Fund,2024-08-02,206681,Savings,99202.0,553.0,47078.0,Mutual Fund,2024-08-02,MATCH,0.0,0.0,both
300097,209421,Business,83453,1409.0,29438,Recurring Deposit,2023-02-25,209421,Business,83453.0,1409.0,29438.0,Recurring Deposit,2023-02-25,MATCH,0.0,0.0,both
300098,208548,Savings,80321,189.0,37746,Recurring Deposit,2025-02-16,208548,Savings,80321.0,189.0,37746.0,Recurring Deposit,2025-02-16,MATCH,0.0,0.0,both
300099,202378,Current,8615,1419.0,24154,Recurring Deposit,2023-08-06,202378,Current,8615.0,1419.0,24154.0,Recurring Deposit,2023-08-06,MATCH,0.0,0.0,both
300100,203351,Savings,69990,1245.41,14369,Recurring Deposit,2022-06-15,203351,Savings,69990.0,1245.41,14369.0,Recurring Deposit,2022-06-15,MATCH,0.0,0.0,both
300101,200884,Current,22527,2603.0,7744,Mutual Fund,2023-03-11,200884,Current,22527.0,2603.0,7744.0,Mutual Fund,2023-03-11,MATCH,0.0,0.0,both
300102,206585,Savings,78341,3102.0,33839,Recurring Deposit,2022-05-09,206585,Savings,78341.0,3102.0,33839.0,Recurring Deposit,2022-05-09,MATCH,0.0,0.0,both
300103,209950,Business,62479,1262.0,23149,Fixed Deposit,2023-07-24,209950,Business,62479.0,1262.0,23149.0,Fixed Deposit,2023-07-24,MATCH,0.0,0.0,both
300104,209649,Savings,77880,2023.0,11839,Recurring Deposit,2023-12-04,209649,Savings,77880.0,2023.0,11839.0,Recurring Deposit,2023-12-04,MATCH,0.0,0.0,both
300105,206343,Savings,97150,1888.0,32443,Fixed Deposit,2023-05-10,206343,Savings,97150.0,1888.0,32443.0,Fixed Deposit,2023-05-10,MATCH,0.0,0.0,both
300106,200550,Current,37640,4869.0,6378,Fixed Deposit,2022-07-01,200550,Current,37640.0,4869.0,6378.0,Fixed Deposit,2022-07-01,MATCH,0.0,0.0,both
300107,208391,Business,57068,544.0,43856,Recurring Deposit,2023-02-11,208391,Business,57068.0,544.0,43856.0,Recurring Deposit,2023-02-11,MATCH,0.0,0.0,both
300108,209582,Business,77018,2580.0,13089,Recurring Deposit,2024-08-18,209582,Business,77018.0,2580.0,13089.0,Recurring Deposit,2024-08-18,MATCH,0.0,0.0,both
300109,203742,Current,16002,4240.0,10238,Fixed Deposit,2023-07-22,203742,Current,16002.0,4240.0,10238.0,Fixed Deposit,2023-07-22,MATCH,0.0,0.0,both
300110,201443,Current,76069,3992.0,37536,Recurring Deposit,2023-02-14,201443,Current,76069.0,3992.0,37536.0,Recurring Deposit,2023-02-14,MATCH,0.0,0.0,both
300111,204774,Business,2758,2094.0,11322,Fixed Deposit,2025-01-02,204774,Business,2758.0,2094.0,11322.0,Fixed Deposit,2025-01-02,MATCH,0.0,0.0,both
300112,208468,Savings,35712,2850.0,2664,Fixed Deposit,2024-05-04,208468,Savings,35712.0,2850.0,2664.0,Fixed Deposit,2024-05-04,MATCH,0.0,0.0,both
300113,200053,Business,88489,4528.0,25322,Recurring Deposit,2023-11-25,200053,Business,88489.0,4528.0,25322.0,Recurring Deposit,2023-11-25,MATCH,0.0,0.0,both
300114,200163,Business,18939,1456.0,42750,Fixed Deposit,2024-12-13,200163,Business,18939.0,1456.0,42750.0,Fixed Deposit,2024-12-13,MATCH,0.0,0.0,both
300115,206798,Business,62558,4163.0,15336,Fixed Deposit,2024-03-02,206798,Business,62558.0,4163.0,15336.0,Fixed Deposit,2024-03-02,MATCH,0.0,0.0,both
300116,202789,Current,49938,4394.0,44374,Fixed Deposit,2022-10-28,202789,Current,49938.0,4394.0,44374.0,Fixed Deposit,2022-10-28,MATCH,0.0,0.0,both
300117,204517,Current,68138,5131.41,25219,Mutual Fund,2023-05-06,204517,Current,68138.0,5131.41,25219.0,Mutual Fund,2023-05-06,MATCH,0.0,0.0,both
300118,209445,Savings,19937,610.0,8151,Recurring Deposit,2022-10-23,209445,Savings,19937.0,610.0,8151.0,Recurring Deposit,2022-10-23,MATCH,0.0,0.0,both
300119,209521,Savings,9767,4323.0,44076,Recurring Deposit,2023-04-08,209521,Savings,9767.0,4323.0,44076.0,Recurring Deposit,2023-04-08,MATCH,0.0,0.0,both
300120,209177,Business,67405,1165.0,1594,Mutual Fund,2024-08-09,209177,Business,67405.0,1165.0,1594.0,Mutual Fund,2024-08-09,MATCH,0.0,0.0,both
300121,205359,Current,35093,2660.0,6004,Fixed Deposit,2024-07-05,205359,Current,35093.0,2660.0,6004.0,Fixed Deposit,2024-07-05,MATCH,0.0,0.0,both
300122,205652,Business,23971,2731.0,33733,Mutual Fund,2023-05-03,205652,Business,23971.0,2731.0,33733.0,Mutual Fund,2023-05-03,MATCH,0.0,0.0,both
300123,201080,Current,52943,3698.0,16128,Fixed Deposit,2024-09-14,201080,Current,52943.0,3698.0,16128.0,Fixed Deposit,2024-09-14,MATCH,0.0,0.0,both
300124,208850,Business,43169,2984.0,28130,Recurring Deposit,2024-01-15,208850,Business,43169.0,2984.0,28130.0,Recurring Deposit,2024-01-15,MATCH,0.0,0.0,both
300125,205148,Savings,5247,2553.0,35029,Recurring Deposit,2024-09-12,205148,Savings,5247.0,2553.0,35029.0,Recurring Deposit,2024-09-12,MATCH,0.0,0.0,both
300126,202265,Business,72586,3575.0,38148,Recurring Deposit,2023-12-01,202265,Business,72586.0,3575.0,38148.0,Recurring Deposit,2023-12-01,MATCH,0.0,0.0,both
300127,204641,Current,86526,605.0,23902,Fixed Deposit,2023-10-04,204641,Current,86526.0,605.0,23902.0,Fixed Deposit,2023-10-04,MATCH,0.0,0.0,both
300128,200848,Current,93679,3984.0,36200,Mutual Fund,2023-02-24,200848,Current,93679.0,3984.0,36200.0,Mutual Fund,2023-02-24,MATCH,0.0,0.0,both
300129,208657,Business,71869,3260.0,44969,Mutual Fund,2022-10-21,208657,Business,71869.0,3260.0,44969.0,Mutual Fund,2022-10-21,MATCH,0.0,0.0,both
300130,204661,Savings,86647,3763.0,32727,Mutual Fund,2024-05-20,204661,Savings,86647.0,3763.0,32727.0,Mutual Fund,2024-05-20,MATCH,0.0,0.0,both
300131,207711,Business,91053,3774.0,16137,Fixed Deposit,2024-04-25,207711,Business,91053.0,3774.0,16137.0,Fixed Deposit,2024-04-25,MATCH,0.0,0.0,both
300132,204599,Business,6606,674.0,6690,Recurring Deposit,2022-08-09,204599,Business,6606.0,674.0,6690.0,Recurring Deposit,2022-08-09,MATCH,0.0,0.0,both
300133,205661,Current,76708,4079.0,14536,Recurring Deposit,2022-06-02,205661,Current,76708.0,4079.0,14536.0,Recurring Deposit,2022-06-02,MATCH,0.0,0.0,both
300134,209566,Current,16347,4411.0,10417,Recurring Deposit,2022-09-07,209566,Current,16347.0,4411.0,10417.0,Recurring Deposit,2022-09-07,MATCH,0.0,0.0,both
300135,206111,Savings,21222,2637.0,38073,Recurring Deposit,2022-11-13,206111,Savings,21222.0,2637.0,38073.0,Recurring Deposit,2022-11-13,MATCH,0.0,0.0,both
300136,205515,Business,76070,3012.0,16381,Mutual Fund,2024-11-19,205515,Business,76070.0,3012.0,16381.0,Mutual Fund,2024-11-19,MATCH,0.0,0.0,both
300137,209998,Savings,43649,3982.0,16028,Recurring Deposit,2022-11-24,209998,Savings,43649.0,3982.0,16028.0,Recurring Deposit,2022-11-24,MATCH,0.0,0.0,both
300138,208610,Business,92016,1833.0,33244,Recurring Deposit,2025-02-10,208610,Business,92016.0,1833.0,33244.0,Recurring Deposit,2025-02-10,MATCH,0.0,0.0,both
300139,201459,Savings,45434,4885.0,41478,Recurring Deposit,2024-01-05,201459,Savings,45434.0,4885.0,41478.0,Recurring Deposit,2024-01-05,MATCH,0.0,0.0,both
300140,204532,Business,76590,689.0,38185,Recurring Deposit,2024-10-02,204532,Business,76590.0,689.0,38185.0,Recurring Deposit,2024-10-02,MATCH,0.0,0.0,both
300141,206029,Savings,78592,4076.0,15550,Fixed Deposit,2022-06-27,206029,Savings,78592.0,4076.0,15550.0,Fixed Deposit,2022-06-27,MATCH,0.0,0.0,both
300142,206289,Business,17919,2965.0,39146,Fixed Deposit,2023-11-08,206289,Business,17919.0,2965.0,39146.0,Fixed Deposit,2023-11-08,MATCH,0.0,0.0,both
300143,202213,Current,16398,3267.0,4757,Mutual Fund,2023-11-03,202213,Current,16398.0,3267.0,4757.0,Mutual Fund,2023-11-03,MATCH,0.0,0.0,both
300144,200597,Business,99990,2592.0,28000,Recurring Deposit,2024-10-01,200597,Business,99990.0,2592.0,28000.0,Recurring Deposit,2024-10-01,MATCH,0.0,0.0,both
300145,209381,Business,21156,4226.0,33599,Fixed Deposit,2024-03-17,209381,Business,21156.0,4226.0,33599.0,Fixed Deposit,2024-03-17,MATCH,0.0,0.0,both
300146,205528,Current,40524,4756.0,26816,Mutual Fund,2024-06-19,205528,Current,40524.0,4756.0,26816.0,Mutual Fund,2024-06-19,MATCH,0.0,0.0,both
300147,208637,Business,9929,782.0,20624,Fixed Deposit,2023-04-15,208637,Business,9929.0,782.0,20624.0,Fixed Deposit,2023-04-15,MATCH,0.0,0.0,both
300148,204749,Savings,18171,2448.0,29221,Mutual Fund,2024-07-27,204749,Savings,18171.0,2448.0,29221.0,Mutual Fund,2024-07-27,MATCH,0.0,0.0,both
300149,200046,Business,18156,2359.0,14701,Mutual Fund,2022-04-07,200046,Business,18156.0,2359.0,14701.0,Mutual Fund,2022-04-07,MATCH,0.0,0.0,both
300150,209704,Savings,91347,1325.0,14764,Recurring Deposit,2025-02-09,209704,Savings,91347.0,1325.0,14764.0,Recurring Deposit,2025-02-09,MATCH,0.0,0.0,both
300151,207890,Current,48523,4841.0,22937,Mutual Fund,2022-09-14,207890,Current,48523.0,4841.0,22937.0,Mutual Fund,2022-09-14,MATCH,0.0,0.0,both
300152,201286,Savings,74082,1340.0,23950,Recurring Deposit,2025-02-12,201286,Savings,74082.0,1340.0,23950.0,Recurring Deposit,2025-02-12,MATCH,0.0,0.0,both
300153,202701,Current,82597,3989.0,9143,Recurring Deposit,2024-07-02,202701,Current,82597.0,3989.0,9143.0,Recurring Deposit,2024-07-02,MATCH,0.0,0.0,both
